photo_id,sol,camera_id,camera_name,camera_full_name,img_src,earth_date,rover_id,rover_name,rover_landing_date,rover_launch_date,rover_status
1269799,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLR_1286_0781113669_441ECM_N0601874NCAM00502_01_1I6J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269800,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLR_1286_0781113711_481ECM_N0601874NCAM00502_02_1I6J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269808,1286,38,NAVCAM_LEFT,Navigation Camera - Left,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NLR_1286_0781113842_521ECM_N0601874NCAM00502_02_1I6J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269608,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781112977_659ECM_N0601874NCAM02286_01_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269609,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781112977_659ECM_N0601874NCAM02286_07_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269610,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781113177_035ECM_N0601874NCAM02286_04_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269611,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781113177_035ECM_N0601874NCAM02286_07_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269612,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781113177_035ECM_N0601874NCAM02286_10_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269618,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781112977_659ECM_N0601874NCAM02286_04_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
1269619,1286,39,NAVCAM_RIGHT,Navigation Camera - Right,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/01286/ids/edr/browse/ncam/NRF_1286_0781112977_659ECM_N0601874NCAM02286_10_195J01_1200.jpg,2024-10-01,8,Perseverance,2021-02-18,2020-07-30,active
